symbol,exchange
FDC,NYSE
FDP,NYSE
FDS,NYSE
FDX,NYSE
FE,NYSE
FEYE,NASDAQ
FFIN,NASDAQ
FFIV,NASDAQ
FGEN,NASDAQ
FHB,NASDAQ
FHN,NYSE
FIBK,NASDAQ
FICO,NYSE
FIG,NYSE
FII,NYSE
FIS,NYSE
FISV,NASDAQ
FITB,NASDAQ
FIVE,NASDAQ
FIZZ,NASDAQ
FL,NYSE
FLEX,NASDAQ
FLIR,NASDAQ
FLO,NYSE
FLR,NYSE
FLS,NYSE
FLT,NYSE
FMBI,NASDAQ
FMC,NYSE
FMS,NYSE
FMX,NYSE
FNB,NYSE
FND,NYSE
FNF,NYSE
FNFV,NYSE
FNGN,NASDAQ
FNSR,NASDAQ
FNV,NYSE
FOX,NASDAQ
FOXA,NASDAQ
FR,NYSE
FRC,NYSE
FRT,NYSE
FSIC,NYSE
FSLR,NASDAQ
FSV,NASDAQ
FTI,NYSE
FTNT,NASDAQ
FTS,NYSE
FTV,NYSE
FUL,NYSE
FULT,NASDAQ
FUN,NYSE
FV,NASDAQ
FWONK,NASDAQ
G,NYSE
GATX,NYSE
GBCI,NASDAQ
GCP,NYSE
GD,NYSE
GDDY,NYSE
GDI,NYSE
GE,NYSE
GEF,NYSE
GEL,NYSE
GEO,NYSE
GFI,NYSE
GG,NYSE
GGAL,NASDAQ
GGB,NYSE
GGG,NYSE
GGP,NYSE
GHC,NYSE
GIB,NYSE
GIL,NYSE
GILD,NASDAQ
GIS,NYSE
GLNG,NASDAQ
GLPG,NASDAQ
GLPI,NASDAQ
GLW,NYSE
GM,NYSE
GME,NYSE
GMED,NYSE
GNRC,NYSE
GNTX,NASDAQ
GOL,NYSE
GOLD,NASDAQ
GOOG,NASDAQ
GOOGL,NASDAQ
GPC,NYSE
GPK,NYSE
GPN,NYSE
GPOR,NASDAQ
GPS,NYSE
GPT,NYSE
GRA,NYSE
GRFS,NASDAQ
GRMN,NASDAQ
GRUB,NYSE
GS,NYSE
GSAT,AMEX
GSH,NYSE
GSK,NYSE
GT,NASDAQ
GWB,NYSE
GWPH,NASDAQ
GWR,NYSE
GWRE,NYSE
GWW,NYSE
GXP,NYSE
